origin,target,model,h,mm_forecast,mm_actual,cumulative_arithmetic_forecast,cumulative_compounded_forecast,arithmetic_minus_compounded_forecast,cumulative_arithmetic_actual,cumulative_compounded_actual,arithmetic_minus_compounded_actual
2022-07,2022-08,INDEPENDENT_BRIDGE,1,1.5679815039712544,0.9,1.5679815039712544,1.5679815039712546,-2.220446049250313e-16,0.9,0.9000000000000001,-1.1102230246251565e-16
2022-07,2022-09,INDEPENDENT_BRIDGE,2,0.8856559044338219,0.3,2.4536374084050765,2.467524329175428,-0.013886920770351363,1.2,1.2026999999999999,-0.0026999999999999247
2022-07,2022-10,INDEPENDENT_BRIDGE,3,1.8835165124745807,1.2,4.337153920879658,4.397517069839356,-0.06036314895969852,2.4,2.4171324000000003,-0.01713240000000038
2022-07,2022-11,INDEPENDENT_BRIDGE,4,1.876892175537551,0.4,6.214046096417208,6.356945899178649,-0.1428998027614412,2.8,2.8268009296,-0.026800929600000245
2022-07,2022-12,INDEPENDENT_BRIDGE,5,1.7236349363780583,0.4,7.9376810327952665,8.190151375961605,-0.25247034316633865,3.1999999999999997,3.2381081333184,-0.03810813331840013
2022-07,2023-01,INDEPENDENT_BRIDGE,6,2.288660217794216,0.8,10.226341250589483,10.66625633007458,-0.4399150794850968,4.0,4.064012998384947,-0.06401299838494712
2022-07,2023-02,INDEPENDENT_BRIDGE,7,2.256146963376475,0.7,12.482488213965958,13.163049711747984,-0.6805614977820262,4.7,4.792461089373642,-0.09246108937364195
2022-07,2023-03,INDEPENDENT_BRIDGE,8,1.8185286712101856,0.2,14.301016885176145,15.220952215971954,-0.9199353307958091,4.9,5.002046011552389,-0.1020460115523889
2022-07,2023-04,INDEPENDENT_BRIDGE,9,2.353196550668703,0.2,16.65421343584485,17.93232768916584,-1.278114253320993,5.1000000000000005,5.2120501035754945,-0.11205010357549394
2022-07,2023-05,INDEPENDENT_BRIDGE,10,1.5078265337705665,0.1,18.162039969615414,19.710542617956335,-1.5485026483409214,5.2,5.31726215367907,-0.11726215367906967
2022-07,2023-06,INDEPENDENT_BRIDGE,11,1.6903786751147825,0.5,19.852418644730196,21.73410410223446,-1.8816854575042647,5.7,5.843848464447465,-0.14384846444746469
2022-07,2023-07,INDEPENDENT_BRIDGE,12,1.8709389206851474,1.0,21.723357565415345,24.01167483563054,-2.2883172702151953,6.7,6.90228694909194,-0.20228694909194012
2022-08,2022-09,INDEPENDENT_BRIDGE,1,0.8017614891539134,0.3,0.8017614891539134,0.8017614891539132,2.220446049250313e-16,0.3,0.3,0.0
2022-08,2022-10,INDEPENDENT_BRIDGE,2,1.5006697371482451,1.2,2.3024312263021587,2.314463018334,-0.012031792031841348,1.5,1.5036,-0.0036000000000000476
2022-08,2022-11,INDEPENDENT_BRIDGE,3,1.5184319283410392,0.4,3.820863154643198,3.868038492115069,-0.04717533747187108,1.9,1.9096144,-0.009614400000000023
