edge,horizon,quantile,value
2023-05,3,0.95,1.6640253565768592
2023-05,6,0.05,-0.3054989816700604
2023-05,6,0.1,-0.2033898305084824
2023-05,6,0.25,0.0
2023-05,6,0.3333333333333333,0.0995355229166235
2023-05,6,0.5,0.2702702702702675
2023-05,6,0.6666666666666666,0.6147540983606703
2023-05,6,0.75,1.172161172161168
2023-05,6,0.9,1.7611026033690802
2023-05,6,0.95,4.442581726739303
2023-05,9,0.05,-0.3308803257480923
2023-05,9,0.1,-0.2205071664829083
2023-05,9,0.25,0.0
2023-05,9,0.3333333333333333,0.0
2023-05,9,0.5,0.2008032128514081
2023-05,9,0.6666666666666666,0.6147540983606703
2023-05,9,0.75,0.9524007384147937
2023-05,9,0.9,1.474201474201453
2023-05,9,0.95,1.7618666999508874
2023-05,12,0.05,-0.388098318240615
2023-05,12,0.1,-0.284719411844072
2023-05,12,0.25,-0.1004016064256929
2023-05,12,0.3333333333333333,0.0
2023-05,12,0.5,0.1706484641638139
2023-05,12,0.6666666666666666,0.32927172002496274
2023-05,12,0.75,0.4460303300624524
2023-05,12,0.9,1.0221465076660996
2023-05,12,0.95,1.286570358480481
2023-06,3,0.05,-0.35118605677350906
2023-06,3,0.1,-0.2107336754173272
2023-06,3,0.25,0.0
2023-06,3,0.3333333333333333,0.1006036217303663
2023-06,3,0.5,0.2469135802469102
2023-06,3,0.6666666666666666,0.42049267302851995
2023-06,3,0.75,0.4859086491739495
2023-06,3,0.9,1.2841091492777013
2023-06,3,0.95,1.4667447756219074
2023-06,6,0.05,-0.5483562691131538
2023-06,6,0.1,-0.2205071664829083
2023-06,6,0.25,0.0
2023-06,6,0.3333333333333333,0.0
2023-06,6,0.5,0.27100470035252844
2023-06,6,0.6666666666666666,0.4793355234988059
2023-06,6,0.75,0.7881773399014858
2023-06,6,0.9,1.5801354401805856
2023-06,6,0.95,1.8650408306543464
2023-06,9,0.05,-0.2832861189801861
2023-06,9,0.1,-0.2145922746781159
2023-06,9,0.25,0.0
2023-06,9,0.3333333333333333,0.0964320154291265
2023-06,9,0.5,0.2985074626865591
2023-06,9,0.6666666666666666,0.6872852233676952
2023-06,9,0.75,1.041666666666674
2023-06,9,0.9,1.5469613259668558
2023-06,9,0.95,1.806451612903226
2023-06,12,0.05,-0.35118605677350906
2023-06,12,0.1,-0.21463842355439075
2023-06,12,0.25,0.0
2023-06,12,0.3333333333333333,0.0
2023-06,12,0.5,0.1748251748251661
2023-06,12,0.6666666666666666,0.30080220621785014
2023-06,12,0.75,0.4314994606256617
2023-06,12,0.9,1.041666666666674
2023-06,12,0.95,1.333333333333342
2023-07,3,0.05,-0.3065283804126439
2023-07,3,0.1,-0.2033898305084824
2023-07,3,0.25,0.0
2023-07,3,0.3333333333333333,0.0963391136801661
2023-07,3,0.5,0.21692203629091183
2023-07,3,0.6666666666666666,0.4385964912280604
2023-07,3,0.75,0.5774783445620768
2023-07,3,0.9,1.2035010940919078
2023-07,3,0.95,1.5486200316775407
2023-07,6,0.05,-0.24689337358970764
2023-07,6,0.1,-0.2010050251256334
2023-07,6,0.25,0.0
2023-07,6,0.3333333333333333,0.0
2023-07,6,0.5,0.27361061204934645
2023-07,6,0.6666666666666666,0.5194805194805197
2023-07,6,0.75,0.6283662477558183
2023-07,6,0.9,1.5469613259668558
2023-07,6,0.95,1.7611026033690802
2023-07,9,0.05,-0.3278688524590123
2023-07,9,0.1,-0.2181025081788523
2023-07,9,0.25,-0.0995024875621863
2023-07,9,0.3333333333333333,0.0
2023-07,9,0.5,0.1005530671465915
2023-07,9,0.6666666666666666,0.2717391304347893
2023-07,9,0.75,0.3768844221105683
2023-07,9,0.9,0.9717798681579194
2023-07,9,0.95,1.3404825737265424
2023-07,12,0.05,-0.4000000000000003
2023-07,12,0.1,-0.2580645161290307
2023-07,12,0.25,-0.0956937799043045
2023-07,12,0.3333333333333333,0.0
2023-07,12,0.5,0.1748251748251661
2023-07,12,0.6666666666666666,0.3387533875338855
2023-07,12,0.75,0.4726536124240565
2023-07,12,0.9,1.0221465076660996
2023-07,12,0.95,1.333333333333342
