"Ukazatel","IndicatorType","Klasifikace CZ-CPA-Úhrn a sekce","CZCPAVAD.CZCPA1","Klasifikace CZ-CPA-Oddíl","CZCPAVAD.CZCPA2","Typ indexu","TYPUDAJE5B","Území","Uz0","Měsíce, měsíční kumulace, měsíce klouzavých průměrů, čtvrtletí, roky","CASMKMQRM12","Hodnota","MJ_TEXT","MJ_SYMBOL"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","květen 2018","2018-05","101.3","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","červen 2018","2018-06","100.8","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","červenec 2018","2018-07","100.4","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","srpen 2018","2018-08","99.7","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","září 2018","2018-09","99.9","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","říjen 2018","2018-10","101.0","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","listopad 2018","2018-11","100.4","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","prosinec 2018","2018-12","99.5","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","leden 2019","2019-01","99.7","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","leden 2019","2019-01K","99.7","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","únor 2019","2019-02","100.3","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","březen 2019","2019-03","99.7","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","duben 2019","2019-04","100.3","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","květen 2019","2019-05","100.2","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","červen 2019","2019-06","99.0","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","červenec 2019","2019-07","99.8","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","srpen 2019","2019-08","100.6","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","září 2019","2019-09","100.4","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","říjen 2019","2019-10","99.3","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","listopad 2019","2019-11","99.4","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","prosinec 2019","2019-12","99.8","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","leden 2020","2020-01","99.2","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","leden 2020","2020-01K","99.2","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","únor 2020","2020-02","99.2","procento","%"
"Index vývozních cen (%)","614603","Úhrn celkem","ABCDEJ","","","Meziměsíční index","IM","Česko","CZ","březen 2020","2020-03","104.1","procento","%"
