candidate,reference,omitted_period,delta_rmse,delta_mae
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2024-04,0.0004972618165559051,0.0001553398999968314
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2024-05,0.0004118768133425377,8.449030449719785e-06
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2024-06,0.0004413029535932922,8.922868670757644e-05
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2024-07,0.00042353697691477343,5.383387522350791e-05
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2024-08,0.0005393318969940664,0.0002175265406511584
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2024-09,0.00045995807648602227,7.393552275580806e-05
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2024-10,0.0004985887707498193,0.00020992072168368736
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2024-11,0.0005032214732911822,0.00032667287138177237
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2024-12,0.0006802109063493433,0.0004478307890937727
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2025-01,0.0003843324605590226,-0.00020554223190105692
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2025-02,0.0004571284713375534,5.641754422475165e-05
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2025-03,0.0004662328433813756,4.8485566408851266e-05
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2025-04,0.0007221588770661702,0.000450454250170762
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2025-05,0.0004457812054335375,3.560178530515046e-05
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2025-06,0.00048594493884401846,9.935904967162124e-05
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2025-07,0.00040006687908666905,-0.00018079767285217319
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2025-08,0.0004920816065656086,0.00015204602057072858
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2025-09,0.0005483887022820211,0.00042405639070897116
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2025-10,0.00045563213341787145,5.6861487433224056e-05
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2025-11,0.0005238569224084721,0.00018401135086881792
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2025-12,0.0004501002745173066,-0.00024540826716740183
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2026-01,0.0004908171319235044,0.00010501304692095426
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2026-02,0.0004606238536949414,8.173910740216783e-05
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2026-03,0.0004887000209674031,0.00010286894260930213
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2026-04,0.0004932884823710126,0.0001742349488300654
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2026-05,0.00034669174160223415,-7.768653646927914e-05
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2026-06,0.0004301689481086557,2.3394438547652552e-05
CATEGORY_HALF_CORRECTION,CATEGORY_RAW,2026-07,0.0004912166395437123,0.00014116541419650908
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2019-02,0.0020422476572878323,0.002256564099893499
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2019-03,0.0020434706344418796,0.002256564099893499
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2019-04,0.002046729135722014,0.0022565640998935543
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2019-05,0.0020538254398107525,0.0022565640998935543
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2019-06,0.0020416504643003264,0.002256564099893499
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2019-07,0.0020419487727071917,0.0022565640998935543
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2019-08,0.0020418752530375617,0.0022565640998934433
CATEGORY_FULL_CORRECTION,CATEGORY_RAW,2019-09,0.0020437756149923603,0.0022565640998935543
