period,candidate,reference,weighted_core_squared_gain,cross_term_gain,headline_squared_gain
2022-08,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.09692130799979207,-0.06248152772132062,0.03443978027847144
2022-09,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,-0.0045955172602440125,-0.20101024165613834,-0.20560575891638233
2022-10,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.001544353331017863,0.0760533595731569,0.07759771290417472
2022-11,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.08435960236176604,-0.20211975500952367,-0.11776015264775763
2022-12,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.024317553555319418,-0.007690989728297277,0.016626563827022146
2023-01,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.0011733869328191225,-0.34771815057928657,-0.3465447636464676
2023-02,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,-0.027831074038149307,-0.01855267852173385,-0.046383752559883154
2023-03,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,-0.013286341490286313,0.022705282229890583,0.009418940739604269
2023-04,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.0017547062178962791,0.0031761993798232434,0.004930905597719526
2023-05,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,-0.008436678910372303,0.020274766148090057,0.01183808723771775
2023-06,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.05567248298275626,0.03602617004437174,0.09169865302712804
2023-07,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.009494075364625912,0.012314118566679286,0.0218081939313052
2023-08,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.04470384320452554,0.011155589107548698,0.05585943231207423
2023-09,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.052697860322596796,0.07479184741874421,0.127489707741341
2023-10,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,-0.02246357313186246,0.0016815436039590832,-0.020782029527903374
2023-11,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.00680695979943928,-0.0165498346754664,-0.00974287487602712
2023-12,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.001191230946798131,0.0010389124475209599,0.002230143394319088
2024-01,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,-0.020373799856972935,0.21622682596571566,0.19585302610874272
2024-02,CATEGORY_FULL_CORRECTION,BASE_MATCHED_FULL,0.007788187959382568,-0.005663441622815158,0.002124746336567407
